epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,115.359,0.82123,3.12664,1.15748,0.48235,0.5312,0.45143,0.35994,0.8062,1.69061,1.08114,0.00017477,0.00017477,0.00017477
2,224.714,0.72523,1.45234,1.06974,0.72739,0.53927,0.61973,0.4976,0.7986,1.19749,1.07705,0.000332773,0.000332773,0.000332773
3,333.121,0.72144,1.22158,1.067,0.86178,0.64327,0.7462,0.62057,0.74077,0.92435,1.0248,0.000473418,0.000473418,0.000473418
4,441.023,0.68656,1.08907,1.04548,0.88023,0.66647,0.76994,0.64028,0.73308,0.81791,1.01816,0.000447889,0.000447889,0.000447889
5,549.294,0.682,1.006,1.04643,0.88677,0.69947,0.80588,0.65864,0.74156,0.78363,1.01521,0.000421852,0.000421852,0.000421852
6,657.445,0.65894,0.90905,1.026,0.80796,0.76276,0.83401,0.69027,0.69613,0.64361,0.98442,0.000395815,0.000395815,0.000395815
7,765.656,0.64599,0.87535,1.02195,0.94879,0.74196,0.86097,0.7109,0.68546,0.59361,0.98589,0.000369778,0.000369778,0.000369778
8,872.724,0.6249,0.78892,1.0096,0.94432,0.76859,0.87047,0.72506,0.65997,0.53288,0.96367,0.000343741,0.000343741,0.000343741
9,981.054,0.61242,0.75375,0.99779,0.94214,0.78187,0.88302,0.74093,0.6476,0.51125,0.95429,0.000317704,0.000317704,0.000317704
10,1089.51,0.59617,0.73021,0.99705,0.93036,0.80273,0.88852,0.74723,0.64101,0.48414,0.95439,0.000291667,0.000291667,0.000291667
11,1197.95,0.5973,0.49426,0.97427,0.85214,0.81216,0.87496,0.73446,0.64809,0.49456,0.94763,0.00026563,0.00026563,0.00026563
12,1305.2,0.58349,0.45426,0.96068,0.85629,0.84508,0.90191,0.76492,0.6206,0.445,0.93217,0.000239593,0.000239593,0.000239593
13,1412.65,0.57108,0.4253,0.9535,0.88254,0.88692,0.93073,0.78733,0.61016,0.43038,0.92878,0.000213556,0.000213556,0.000213556
14,1520.18,0.55923,0.40806,0.94566,0.9207,0.86286,0.92965,0.79421,0.59176,0.41058,0.91791,0.000187519,0.000187519,0.000187519
15,1627.47,0.54884,0.38492,0.9381,0.91786,0.89796,0.94438,0.80291,0.58743,0.39093,0.91608,0.000161482,0.000161482,0.000161482
16,1734.99,0.53428,0.37033,0.93482,0.9383,0.89981,0.94977,0.81538,0.57525,0.36552,0.90938,0.000135445,0.000135445,0.000135445
17,1841.6,0.52745,0.34375,0.92516,0.93844,0.91073,0.95285,0.82527,0.56161,0.34656,0.90402,0.000109408,0.000109408,0.000109408
18,1949.01,0.51634,0.3248,0.92245,0.9557,0.91852,0.96425,0.83645,0.55052,0.3342,0.89806,8.3371e-05,8.3371e-05,8.3371e-05
19,2056.05,0.50705,0.31413,0.91591,0.95031,0.92717,0.96477,0.83787,0.54613,0.31857,0.89579,5.7334e-05,5.7334e-05,5.7334e-05
20,2163.46,0.50263,0.30516,0.90864,0.95363,0.93055,0.96895,0.84433,0.53678,0.30613,0.89101,3.1297e-05,3.1297e-05,3.1297e-05
